cultivar;entrada;bloue;tratamiento;parcela;cod_parcela;num_planta;DDS;tallo_flora_curvatura;tallo_floral_bulbillo;follaje_porte;num_hojas;forma_longitudinal;posicion_dientes_extrbulb;forma_base;distribución_dientes;dientes_exteriores;peso_bulbo_gr;longitud_bulbo_mm;ancho_bulbo_mm;num_dientes
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;8;172;1;9;1;11;2;2;2;1;9;24.00;31.49;44.16;8
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;9;172;1;9;1;12;2;2;2;1;1;45.00;38.49;51.71;10
AJO DONAJUS;DONA24-01;3;T1;305;B3-305;10;172;1;9;1;11;2;2;2;1;1;14.00;33.91;40.81;5
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;1;172;1;9;1;13;1;1;2;1;1;41.50;46.46;59.25;7
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;2;172;1;9;1;14;1;3;2;1;1;59.00;49.61;66.38;11
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;3;172;1;9;1;13;3;1;2;1;1;65.00;58.13;60.00;7
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;4;172;1;9;1;12;2;3;2;1;1;88.50;57.66;58.59;10
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;5;172;1;9;1;13;3;2;2;2;9;49.00;54.54;58.64;5
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;6;172;1;9;1;16;2;2;2;2;9;41.50;50.12;61.38;9
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;7;172;1;9;1;12;2;3;2;1;1;44.00;46.84;49.54;6
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;8;172;1;9;1;11;2;3;2;2;9;37.50;54.16;53.56;9
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;9;172;1;9;1;14;2;3;2;1;1;75.00;58.34;65.98;13
AJO BLANCO INIA;BLANC24-01;3;T2;306;B3-306;10;172;1;9;1;11;2;3;2;1;1;48.50;47.20;55.01;6
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;1;172;9;9;2;14;2;2;2;1;1;34.50;40.39;44.74;6
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;2;172;9;9;2;16;2;2;2;1;1;34.00;44.65;51.12;3
AJO DONAJUS;DONAJ24-01;4;T1;401;B4-401;3;172;9;9;2;8;2;2;2;1;1;31.00;43.56;47.71;5
